32 32
2
4
4
7 29
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;5 ;5 ;5 ;5 ;5 ;0 ;0 ;5M;0 ;5 ;5 ;5 ;0 ;1M;1 ;1 ;0 ;0 ;0 ;1 ;1M;0 ;1 ;1 ;0 ;0 ;1 ;1 ;0
0 ;0 ;5 ;5 ;5M;5 ;5 ;5M;0 ;0 ;5 ;5 ;5M;5 ;5 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1M;1 ;1 ;1 ;0 ;0 ;1 ;1M;0
0 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0 ;0 ;0
0 ;5 ;5M;5 ;5 ;5M;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;5 ;1 ;1M;1M;1 ;1M;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0 ;0
0 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;5 ;5 ;1 ;1 ;1 ;1 ;1 ;1M;1M;1 ;1 ;1 ;1 ;1M;1 ;1 ;1M;1 ;0 ;0
0 ;5 ;5 ;5 ;5 ;5M;5M;5 ;5 ;5M;5 ;5 ;5 ;5 ;5 ;5 ;1M;1 ;1 ;1M;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0
0 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;1M;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1M;1 ;1T;0 ;0
0 ;5 ;5 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;1M;1 ;1P;1 ;1 ;1 ;1 ;1 ;1M;1 ;1 ;1 ;0 ;0 ;0 ;0
0 ;0 ;0 ;5 ;5 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;5M;5M;5 ;5 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1M;1 ;1 ;1 ;1 ;1 ;0
0 ;5 ;5 ;5 ;5 ;5 ;5 ;5M;5 ;4 ;5 ;5 ;5M;5 ;5M;5M;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1M;1 ;1 ;1 ;0
0 ;5 ;5 ;5M;5 ;5 ;5 ;5P;5 ;4 ;5 ;5 ;5 ;5M;5 ;4 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1M;1M;0 ;0 ;0
0 ;5M;5 ;5 ;5 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;1 ;1M;1 ;1 ;1 ;1 ;1 ;1 ;1M;1 ;1 ;1 ;0
0 ;0 ;5M;5 ;5 ;5 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4M;4M;4 ;4 ;4 ;1 ;1 ;1 ;1 ;1M;1M;1 ;1 ;1 ;1 ;1 ;1 ;0
0 ;5 ;5M;5 ;5 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;1 ;1M;1 ;1 ;1 ;1 ;1M;1M;1 ;1M;1 ;1M;0
0 ;0 ;5 ;5 ;5M;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;1 ;1 ;1M;1 ;1 ;1 ;1 ;1M;1 ;1 ;1 ;1 ;0
0 ;2 ;2 ;2M;2 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4M;4M;4 ;4M;4 ;4 ;3 ;3 ;3 ;3 ;3M;1 ;3 ;3M;3M;1M;3 ;3 ;0
0 ;2 ;2 ;2 ;2M;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;3 ;3M;3M;3 ;3 ;1 ;3 ;3 ;3 ;3 ;3 ;3M;0
0 ;2 ;2M;2 ;2M;4 ;4 ;4 ;4M;4 ;4 ;4 ;4M;4M;4 ;4 ;4 ;4M;4 ;3 ;3M;3M;3 ;3 ;1 ;3 ;3 ;3 ;3M;3P;3 ;0
0 ;2 ;2 ;2M;2 ;2 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4M;4 ;4 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;0 ;0 ;0
0 ;0 ;2 ;2 ;2 ;2 ;2 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4M;4M;6 ;6 ;6 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;0
0 ;2 ;2 ;2 ;2 ;4 ;4M;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4M;4 ;4 ;6 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;0 ;0 ;0
0 ;0 ;2 ;2 ;2 ;4 ;4 ;4 ;4 ;4 ;4P;4 ;4M;4 ;4M;4 ;4 ;4 ;6 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;0
0 ;2 ;2 ;2P;2 ;4 ;4 ;4 ;4 ;4 ;4 ;6 ;6 ;6 ;6 ;6 ;6M;6 ;6 ;6 ;3 ;6 ;6M;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;0
0 ;2 ;2 ;2 ;2 ;4 ;4 ;4 ;4 ;4 ;6 ;6 ;6 ;6 ;6 ;6 ;6 ;6 ;6M;6 ;3 ;6 ;6 ;3 ;3 ;3M;3 ;3 ;3 ;0 ;0 ;0
0 ;2M;2M;2 ;2M;4 ;4M;4 ;4M;4 ;4 ;4 ;4 ;6 ;6 ;6 ;6 ;6M;6 ;6 ;6M;6 ;6 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;0 ;0
0 ;2 ;2 ;2 ;2M;4 ;4 ;4 ;4 ;4 ;6 ;6 ;6 ;6 ;6M;6 ;6 ;6 ;6 ;6 ;6 ;6M;6P;3M;3 ;3 ;3 ;3 ;3 ;3M;3M;0
0 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;4 ;4 ;6M;6 ;6 ;6M;6 ;6 ;6 ;6M;6 ;6 ;6 ;6 ;6M;3 ;3M;3 ;3 ;3 ;0 ;0 ;0 ;0
0 ;0 ;0 ;0 ;2 ;2 ;2 ;4 ;4 ;4 ;6 ;6 ;6M;6 ;6 ;6 ;6M;6 ;6 ;6 ;6 ;6 ;6M;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;0
0 ;2 ;2 ;0 ;0 ;4 ;4 ;4 ;4 ;4 ;6 ;6M;6 ;0 ;6 ;6M;6 ;6M;6 ;6M;6 ;6 ;0 ;3M;3M;3 ;3 ;3 ;3 ;3 ;0 ;0
0 ;2 ;2 ;0 ;0 ;2 ;2M;0 ;2 ;2 ;2 ;2 ;2 ;0 ;2 ;2 ;3M;3 ;3 ;3 ;6 ;6 ;3 ;3M;3M;0 ;3 ;3 ;3 ;0 ;3M;0
