96 96
2
4
4
25 35
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;3 ;0 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;0 ;3 ;3 ;3 ;3 ;0 ;3 ;3M;0 ;3 ;3M;3 ;3 ;0 ;3 ;3 ;3M;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3M;0 ;3 ;3 ;3 ;3 ;4M;0 ;0 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4M;4M;4 ;4 ;4 ;4 ;0 ;4 ;0 ;4 ;4 ;0 ;4 ;4 ;0 ;4 ;0 ;4 ;4 ;0 ;4 ;4 ;0 ;0 ;4M;0 ;4 ;4 ;0 ;0 ;4 ;4 ;4 ;4 ;0 ;0 ;0 ;0
0 ;0 ;3 ;3 ;3M;3 ;3 ;3M;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3M;3 ;3M;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3M;3 ;3M;3 ;0 ;3 ;3 ;3M;3 ;4 ;4 ;0 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4M;4M;4 ;4 ;4M;4 ;4 ;4M;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;0 ;0 ;4 ;0 ;4M;4 ;0 ;0 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;0
0 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3M;3M;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3M;3 ;3M;3M;3 ;3 ;3M;3 ;3M;3 ;3 ;3 ;3 ;3 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4M;4 ;4M;4 ;4M;4M;4 ;4 ;4M;4 ;4 ;4M;4M;4 ;4 ;4 ;4M;4 ;4 ;4M;4 ;4 ;4 ;0
0 ;0 ;0 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3M;3 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4M;4 ;4M;4M;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4M;4 ;4 ;4M;4 ;4 ;4 ;4 ;4M;4 ;4M;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;0
0 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;5 ;5 ;5 ;5 ;5 ;5 ;5M;5M;5 ;5 ;5 ;5M;5M;5 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;5 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4M;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4M;4M;4M;4 ;0
0 ;3M;3 ;3 ;3M;3 ;3 ;3 ;3M;3 ;3 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;5M;5M;5M;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4M;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;0
0 ;3 ;3 ;3M;3 ;3 ;3M;3M;3 ;3 ;3 ;5 ;5 ;5 ;5 ;5 ;5M;5M;5 ;5 ;5 ;5M;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;5 ;5 ;5 ;5M;5 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4P;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4M;4 ;4 ;4M;4M;4 ;4 ;4 ;0
0 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;5 ;5M;5M;5 ;5 ;5M;5 ;5 ;5 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;4 ;4 ;4 ;4 ;4M;4 ;4M;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4M;4M;4 ;4M;4 ;4 ;4M;4 ;4 ;4M;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4M;0
0 ;3 ;3 ;3 ;3 ;3M;3 ;3M;3 ;3 ;3 ;5 ;5M;5 ;5M;5 ;5 ;5M;5 ;5 ;5 ;5 ;5 ;5 ;5M;5 ;5M;5 ;5 ;5 ;5M;5 ;5 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;5M;3M;3 ;3 ;3 ;3 ;3 ;3 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4M;0
0 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;5 ;5 ;5 ;5M;5 ;5 ;5 ;5 ;5 ;5 ;5 ;3M;3 ;3 ;3 ;3M;3 ;3M;4 ;4M;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;0 ;0
