128 128
2
4
4
19 52
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;3 ;3 ;3 ;0 ;3M;3 ;0 ;3 ;3 ;0 ;3 ;3 ;3 ;0 ;0 ;3 ;3 ;3 ;3 ;0 ;0 ;0 ;3 ;3 ;3 ;0 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;0 ;3 ;3 ;3M;3 ;0 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;0 ;3 ;3 ;3 ;3 ;3M;3 ;3M;3 ;3 ;3M;3 ;3 ;3 ;7 ;0 ;7 ;7 ;7 ;7 ;0 ;7 ;0 ;7 ;0 ;7 ;7 ;7M;0 ;7 ;0 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;0 ;7 ;7 ;0 ;0 ;7 ;7 ;7M;0 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;0 ;0 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;0 ;7 ;7 ;7 ;7 ;0 ;7 ;0 ;0 ;7M;0 ;0 ;0
0 ;3 ;3M;3 ;0 ;3M;3M;3 ;3 ;3 ;0 ;3M;3 ;3 ;0 ;3 ;3 ;3 ;3 ;3 ;0 ;0 ;3 ;3M;3 ;3 ;0 ;3 ;3 ;3M;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;0 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3M;3 ;3 ;0 ;3 ;3M;3 ;3M;3M;3 ;3M;3 ;3 ;3M;3M;3 ;3 ;7M;0 ;7 ;7 ;7M;7 ;0 ;7 ;7 ;7 ;0 ;7M;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;0 ;7 ;7 ;0 ;7 ;7M;7 ;7 ;7 ;7 ;7M;7 ;7M;7 ;7 ;7 ;7 ;0 ;7M;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7M;0 ;7 ;0
0 ;3 ;3 ;3M;3M;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3M;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3M;3 ;3 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7M;7 ;7 ;7 ;0
0 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3M;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3M;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;7 ;7 ;7 ;7M;7M;7 ;7M;7 ;7 ;7 ;7M;7 ;7 ;7M;7 ;7 ;7 ;7M;7M;7 ;7 ;7 ;7 ;7 ;7M;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7M;7 ;7 ;7 ;7M;7 ;7M;7 ;7 ;7 ;7M;7 ;7M;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;0 ;0 ;0 ;0
0 ;3M;3 ;3 ;3 ;3M;3 ;3 ;3 ;3M;3 ;3 ;3M;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3M;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3M;3 ;3 ;3 ;3 ;3 ;3M;3 ;3M;3M;3M;3 ;3 ;3 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7M;7M;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;0
0 ;0 ;0 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3M;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3M;3 ;3 ;3 ;3 ;3M;3M;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7M;7M;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7M;7 ;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7M;7 ;7 ;7 ;7M;7M;7M;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;0
0 ;3M;3 ;3M;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3M;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7M;7M;7 ;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7M;7 ;7 ;7M;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;0 ;0 ;0
0 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3M;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3M;3 ;3M;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;7M;7M;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;0
0 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3P;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3M;3M;3 ;3M;3 ;3 ;3M;3 ;3 ;3 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;0 ;0
0 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3M;3 ;3 ;3 ;3 ;3 ;3 ;3 ;3 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7M;7M;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7 ;7 ;7 ;7M;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7M;7 ;7M;7 ;7M;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;7 ;0 ;0 ;0 ;0
